[2019-12-04 05:12:46.879] Starting up round ID .
 - -------------------------
[2019-12-04 05:13:47.870] TCOMMS: The �Automated Announcement System [Common] (spans: robot ) "Alessandra Joghs has signed up as Chief Medical Officer" (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2019-12-04 05:13:54.985] TCOMMS: The �Automated Announcement System [Medical] (spans: robot ) "Alessandra Joghs, Chief Medical Officer, is the department head." (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2019-12-04 05:13:57.098] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (117, 83, 2))
[2019-12-04 05:14:11.181] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 83, 2))
[2019-12-04 05:14:19.180] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:14:41.179] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:16:39.176] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:16:51.175] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:16:53.178] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:17:05.176] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:17:49.179] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:17:59.175] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2019-12-04 05:18:07.178] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2019-12-04 05:18:39.175] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I have lived many lives!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:19:13.175] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2019-12-04 05:21:01.175] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:21:53.175] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2019-12-04 05:22:05.176] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (116, 81, 2))
[2019-12-04 05:22:19.176] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (118, 80, 2))
[2019-12-04 05:22:49.175] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:23:07.177] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2019-12-04 05:23:08.090] TCOMMS: The cloning pod [Medical] (spans: robot ) "The cloning cycle is complete." (language: Galactic Common) (Genetics Lab (155, 113, 2))
[2019-12-04 05:23:15.176] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2019-12-04 05:23:19.176] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2019-12-04 05:23:21.174] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
